Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
103.119.242.124-172.217.160.142-51051-443-6,103.119.242.124,51051,172.217.160.142,443,6,07-10-2019 23:21,819397,17,23,2253,20327,1380,0,132.5294118,345.1059833,1430,0,883.7826087,661.569412,27556.84973,48.81638571,21010.17949,65312.30376,335231,0,787187,49199.1875,109971.9303,370719,1,787679,35803.59091,88961.18678,335231,0,0,0,0,0,352,472,20.74696393,28.06942178,0,1430,550.7317073,658.8269129,434052.9012,2,2,0,12,39,0,0,0,1,564.5,132.5294118,883.7826087,0,0,0,22580,24,47211,0,0,0,0,64240,263,7,20,0,0,0,0,0,0,0,0,Normal
103.119.242.124-172.217.163.34-51054-443-6,103.119.242.124,51054,172.217.163.34,443,6,07-10-2019 23:22,4076462,15,15,2171,4307,848,0,144.7333333,271.1808744,1430,0,287.1333333,495.185516,1589.123117,7.359322864,140567.6552,715931.9962,3862428,0,4045541,288967.2143,1028699.728,3862428,84,4045517,288965.5,1037744.614,3894021,0,0,0,0,0,312,312,3.679661432,3.679661432,0,1430,208.9677419,394.1097549,155322.4989,2,2,0,17,29,0,0,0,1,215.9333333,144.7333333,287.1333333,0,0,0,6478,18,43835,15,2171,15,4307,64240,255,7,20,0,0,0,0,0,0,0,0,Normal
103.119.242.124-172.217.160.142-51052-443-6,103.119.242.124,51052,172.217.160.142,443,6,07-10-2019 23:22,9971102,91,131,27778,31980,1380,0,305.2527473,473.8075229,1430,0,244.1221374,483.8088787,5993.118915,22.26433949,45118.1086,258059.8096,2156220,0,9938683,110429.8111,405234.8985,2191413,0,9939328,76456.36923,339741.1742,2188528,0,0,0,0,0,1832,2632,9.126373394,13.13796609,0,1430,267.9730942,478.8615245,229308.3596,2,2,0,117,221,0,0,0,1,269.1801802,305.2527473,244.1221374,0,0,0,14939,34,26826,22,6944,32,7995,64240,544,54,20,0,0,0,0,0,0,0,0,Normal
103.119.242.124-213.227.168.147-50809-5938-6,103.119.242.124,50809,213.227.168.147,5938,6,07-10-2019 23:22,8231269,7,3,144,0,24,0,20.57142857,9.071147352,0,0,0,0,17.49426486,1.214879504,914585.4444,1007389.644,3096493,1,8049240,1341540,1040198.161,3096493,387660,1813497,906748.5,1282334.612,1813496,1,1,0,0,0,140,72,0.850415653,0.364463851,0,24,15.27272727,12.1085995,146.6181818,2,0,0,6,10,0,0,0,0,16.8,20.57142857,0,0,0,0,96,4,60,2,48,1,0,254,1023,5,20,0,0,0,0,0,0,0,0,Normal
103.119.242.124-213.227.168.147-50809-5938-6,103.119.242.124,50809,213.227.168.147,5938,6,07-10-2019 23:22,2369412,1,1,0,24,0,0,0,0,24,24,24,0,10.12909532,0.844091277,2369412,0,2369412,2369412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.422045638,0.422045638,0,24,8,13.85640646,192,1,0,0,1,2,0,0,0,1,12,0,24,0,0,0,0,0,0,1,0,1,24,254,1023,0,20,0,0,0,0,0,0,0,0,Normal
103.119.242.124-195.244.97.230-51056-5938-6,103.119.242.124,51056,195.244.97.230,5938,6,07-10-2019 23:22,566134,4,4,32,28,32,0,8,16,28,0,7,14,105.981976,14.13093013,80876.28571,97361.03061,185540,2,381536,127178.6667,101078.2243,185805,10464,380594,126864.6667,109978.2869,195258,2,0,0,0,0,92,92,7.065465067,7.065465067,0,32,6.666666667,13.26649916,176,2,2,0,2,7,0,0,0,1,7.5,8,7,0,0,0,0,0,0,0,0,0,0,64240,256,1,20,0,0,0,0,0,0,0,0,Normal
103.119.242.124-172.217.163.66-51059-443-6,103.119.242.124,51059,172.217.163.66,443,6,07-10-2019 23:22,10547047,12,13,1385,4066,648,0,115.4166667,221.8342782,1430,0,312.7692308,531.0433369,516.8271271,2.370331715,439460.2917,1620672.386,7582814,35,2964233,269475.7273,833141.3476,2780727,122,1.05E+07,876335.9167,2976846.996,1.03E+07,101,0,0,0,0,252,272,1.137759223,1.232572492,0,1430,209.6538462,410.5677963,168565.9154,2,2,0,12,24,0,0,0,1,218.04,115.4166667,312.7692308,0,0,0,5451,13,38624,6,692,6,2033,64240,247,6,20,2964233,0,2964233,2964233,7582814,0,7582814,7582814,Normal
103.119.242.124-172.217.163.34-51057-443-6,103.119.242.124,51057,172.217.163.34,443,6,07-10-2019 23:22,10628983,16,16,2177,4305,1051,0,136.0625,287.6313541,1430,0,269.0625,483.4373408,609.8419764,3.010636107,342870.4194,1440201.132,7616049,0,3012934,200862.2667,720267.5868,2803424,102,1.06E+07,706535.7333,2689243.72,1.04E+07,0,0,0,0,0,332,332,1.505318053,1.505318053,0,1430,196.4242424,392.4264286,153998.5019,2,2,0,17,31,0,0,0,1,202.5625,136.0625,269.0625,0,0,0,6482,18,47537,8,1088,8,2152,64240,254,7,20,3012934,0,3012934,3012934,7616049,0,7616049,7616049,Normal
103.119.242.124-216.58.196.162-51062-443-6,103.119.242.124,51062,216.58.196.162,443,6,07-10-2019 23:22,10008275,8,4,653,776,589,0,81.625,206.230064,564,0,194,266.1428188,142.781848,1.199007821,909843.1818,1561462.379,4031852,51,1.00E+07,1429753.571,1788088.323,4032168,51,67622,22540.66667,19006.84441,34635,633,0,0,0,0,184,92,0.799338547,0.399669274,0,589,109.9230769,215.4408123,46414.74359,1,3,1,4,10,0,0,0,0,119.0833333,81.625,194,0,0,0,1429,4,21486,2,217,1,258,64240,242,2,20,0,0,0,0,0,0,0,0,Normal
103.119.242.124-216.58.196.162-51061-443-6,103.119.242.124,51061,216.58.196.162,443,6,07-10-2019 23:22,10297185,14,13,2233,4480,1380,0,159.5,376.5180045,1430,0,344.6153846,527.390358,651.9257448,2.622075839,396045.5769,1093492.495,4035382,0,1.03E+07,789177.6154,1474151.479,4035571,0,3261015,271751.25,853844.3844,2981297,0,0,0,0,0,304,272,1.35959488,1.26248096,0,1430,239.75,450.1539346,202638.5648,2,3,0,12,25,0,0,0,0,248.6296296,159.5,344.6153846,0,0,0,6713,14,27246,4,744,4,1493,64240,253,7,20,0,0,0,0,0,0,0,0,Normal
