Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
117.121.250.88-103.119.242.114-443-52284-6,117.121.250.88,443,103.119.242.114,52284,6,08-10-2019 18:55,2417144,3,5,62,0,31,0,20.66666667,17.89785834,0,0,0,0,25.65010608,3.309691107,345306.2857,840659.9604,2251041,50,103796,51898,14682.3652,62280,41516,2376224,594056,1104782.455,2251041,21410,1,0,0,0,60,112,1.241134165,2.068556942,0,31,10.33333333,15.5,240.25,2,0,0,2,8,0,0,0,1,11.625,20.66666667,0,0,0,0,0,0,0,3,62,5,0,1562,17143,1,20,0,0,0,0,0,0,0,0,Normal
117.121.250.88-103.119.242.114-443-52286-6,117.121.250.88,443,103.119.242.114,52286,6,08-10-2019 18:55,3499197,2,2,31,0,31,0,15.5,21.92031022,0,0,0,0,8.859175405,1.143119407,1166399,2020237.215,3499168,0,0,0,0,0,0,3499168,3499168,0,3499168,3499168,1,0,0,0,40,40,0.571559704,0.571559704,0,31,12.4,16.97939928,288.3,2,0,0,1,4,0,0,0,1,15.5,15.5,0,0,0,0,0,0,0,2,31,2,0,1562,256,0,20,0,0,0,0,0,0,0,0,Normal
103.119.242.114-103.119.242.124-52293-2869-6,103.119.242.114,52293,103.119.242.124,2869,6,08-10-2019 18:56,2851,3,5,189,4500,189,0,63,109.1192009,1460,0,900,725.71482,1644686.075,2806.032971,407.2857143,891.7250537,2410,1,438,219,231.9310242,383,55,2505,626.25,1250.5,2502,1,0,0,0,0,72,112,1052.262364,1753.770607,0,1460,521,684.5984224,468675,1,2,0,3,7,0,0,0,1,586.125,63,900,0,0,0,4689,5,1943224,0,0,0,0,64240,2053,1,20,0,0,0,0,0,0,0,0,Normal
103.119.242.114-103.119.242.124-52294-2869-6,103.119.242.114,52294,103.119.242.124,2869,6,08-10-2019 18:56,1679,3,5,189,4500,189,0,63,109.1192009,1460,0,900,725.71482,2792733.77,4764.740917,239.8571429,491.7466924,1329,0,348,174,205.0609665,319,29,1386,346.5,691.6668273,1384,0,0,0,0,0,72,112,1786.777844,2977.963073,0,1460,521,684.5984224,468675,1,2,0,3,7,0,0,0,1,586.125,63,900,0,0,0,4689,5,3522915,0,0,0,0,64240,2053,1,20,0,0,0,0,0,0,0,0,Normal
103.119.242.114-103.119.242.124-52295-2869-6,103.119.242.114,52295,103.119.242.124,2869,6,08-10-2019 18:56,1725,3,5,189,4500,189,0,63,109.1192009,1460,0,900,725.71482,2718260.87,4637.681159,246.4285714,515.4816056,1399,0,324,162,154.1492783,271,53,1483,370.75,740.1668168,1481,0,0,0,0,0,72,112,1739.130435,2898.550725,0,1460,521,684.5984224,468675,1,2,0,3,7,0,0,0,1,586.125,63,900,0,0,0,4689,5,3346895,0,0,0,0,64240,2053,1,20,0,0,0,0,0,0,0,0,Normal
103.119.242.114-23.50.232.83-52251-443-6,103.119.242.114,52251,23.50.232.83,443,6,08-10-2019 18:56,32764920,3,2,1,31,1,0,0.333333333,0.577350269,31,0,15.5,21.92031022,0.9766543,0.152602234,8191230,1.61E+07,3.23E+07,70,3.28E+07,1.64E+07,2.28E+07,3.25E+07,239884,3.25E+07,3.25E+07,0,3.25E+07,3.25E+07,0,0,0,0,60,52,0.091561341,0.061040894,0,31,5.5,12.50199984,156.3,1,0,1,1,5,0,0,0,0,6.6,0.333333333,15.5,0,0,0,0,0,0,3,1,2,31,4277,276,0,20,239820,0,239820,239820,3.23E+07,0,3.23E+07,3.23E+07,Normal
201.172.218.172-103.119.242.114-61168-43103-6,201.172.218.172,61168,103.119.242.114,43103,6,08-10-2019 18:56,3000247,4,0,0,0,0,0,0,0,0,0,0,0,0,1.333223565,1000082.333,339.6650311,1000452,999784,3000247,1000082.333,339.6650311,1000452,999784,0,0,0,0,0,0,0,0,0,92,0,1.333223565,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,64240,0,0,20,0,0,0,0,0,0,0,0,Normal
103.119.242.114-23.50.232.83-52250-443-6,103.119.242.114,52250,23.50.232.83,443,6,08-10-2019 18:56,30431480,2,3,1,31,1,0,0.5,0.707106781,31,0,10.33333333,17.89785834,1.051542679,0.164303544,7607870,1.49E+07,3.00E+07,1,3.02E+07,3.02E+07,0,3.02E+07,3.02E+07,3.02E+07,1.51E+07,2.14E+07,3.02E+07,1,0,0,0,0,40,72,0.065721417,0.098582126,0,31,5.5,12.50199984,156.3,2,0,0,1,5,0,0,0,1,6.6,0.5,10.33333333,0,0,0,0,0,0,2,1,3,31,252,454,0,20,233288,0,233288,233288,3.00E+07,0,3.00E+07,3.00E+07,Normal
103.119.242.114-212.58.244.79-52277-443-6,103.119.242.114,52277,212.58.244.79,443,6,08-10-2019 18:56,31649917,1,3,1,31,1,1,1,0,31,0,10.33333333,17.89785834,1.011061103,0.126382638,1.05E+07,1.81E+07,3.15E+07,2,0,0,0,0,0,3.15E+07,1.57E+07,2.23E+07,3.15E+07,2,0,0,0,0,20,60,0.031595659,0.094786978,0,31,6.6,13.6491758,186.3,1,0,0,1,4,0,0,0,3,8.25,1,10.33333333,0,0,0,0,0,0,1,1,3,31,64240,32400,0,20,181158,0,181158,181158,3.15E+07,0,3.15E+07,3.15E+07,Normal
103.119.242.114-36.155.192.113-52292-80-6,103.119.242.114,52292,36.155.192.113,80,6,08-10-2019 18:56,29389885,8,6,718,537,718,0,89.75,253.8513344,179,0,89.5,98.04233779,42.70176627,0.476354365,2260760.385,5303630.524,1.89E+07,1,1.05E+07,1494351.143,2237215.744,6000661,196,2.02E+07,4038479.4,8327532.855,1.89E+07,1,0,0,0,0,220,132,0.272202494,0.204151871,0,718,83.66666667,190.2339412,36188.95238,1,4,0,4,11,0,0,0,0,89.64285714,89.75,89.5,0,0,0,1255,4,993,2,239,2,179,65535,60,1,20,2229898.5,1089788.021,3000495,1459302,1.25E+07,9142018.111,1.89E+07,6000661,Normal
